Date,Title,URL
2016_01_07,Maduro names young hardliner to run Venezuela's ailing economy,https://www.yahoo.com/news/maduro-reshuffles-cabinet-venezuela-showdown-intensifies-005333579.html
2016_01_07,"China stocks plunge, trigging another market halt",https://www.yahoo.com/news/china-stocks-plunge-trigging-another-023856417.html
2016_01_08,Concerns about China's economy fuel market plunge on Wall Street,https://www.yahoo.com/news/concerns-chinas-economy-fuel-market-011355802.html
2016_01_11,China's premier says market solutions needed to solve overcapacity,https://finance.yahoo.com/news/chinas-premier-says-market-solutions-needed-solve-overcapacity-022630951--business.html
2016_01_19,China's economy will face similar situation in 2016 as in 2015,https://finance.yahoo.com/news/chinas-economy-face-similar-situation-2016-2015-024244258--business.html
2016_01_21,Speculators in China offshore yuan forwards market bet on devaluation,https://www.yahoo.com/news/speculators-china-offshore-yuan-forwards-market-bet-devaluation-020806272--sector.html
2016_01_22,Australia's ASX invests in blockchain to simplify markets,https://www.yahoo.com/news/australias-asx-invests-blockchain-simplify-markets-002811199--sector.html
2016_01_23,Chinese stock market woes impacting Bay Area real estate market,https://www.yahoo.com/news/chinese-stock-market-woes-impacting-015100714.html
2016_01_30,Pricing worries prompt reviews of U.S. cattle markets,https://www.yahoo.com/news/pricing-worries-prompt-reviews-u-cattle-markets-004518442--finance.html
2016_02_01,"Asia shrimp farmers restock mangrove supermarket"" by going organic""",https://sg.news.yahoo.com/asia-shrimp-farmers-restock-mangrove-supermarket-going-organic-042848348--sector.html
2016_02_07,San Francisco Ferry Building farmers market vendors report business is slow,https://www.yahoo.com/news/san-francisco-ferry-building-farmers-015200598.html
2016_02_10,Iran says ready to talk with Saudi over oil market conditions - Press TV,https://sg.news.yahoo.com/iran-says-ready-talk-saudi-over-oil-market-003412400.html
2016_02_15,"Japan economy shrinks more than expected, highlights lack of policy options",https://sg.finance.yahoo.com/news/japan-economy-shrinks-more-expected-adds-fears-global-020454287--business.html
2016_02_15,"China to consolidate drug market, promote traditional medicines",https://www.yahoo.com/news/china-consolidate-drug-market-promote-traditional-medicines-030541700--business.html
2016_02_20,UK-EU deal preserves Britain's leeway on market regulations,https://www.yahoo.com/news/uk-eu-deal-preserves-britains-leeway-market-regulations-000648595--business.html
2016_02_25,This Supermarket Wants Everyone to Buy Food Waste,https://www.yahoo.com/news/supermarket-wants-everyone-buy-food-waste-004014862.html
2016_02_27,El Nino's end offers ray of hope for the distillate market: Kemp,https://www.yahoo.com/news/el-ninos-end-offers-ray-hope-distillate-market-011403490.html
2016_02_30,"Asia shrimp farmers restock mangrove supermarket"" by going organic""",https://sg.news.yahoo.com/asia-shrimp-farmers-restock-mangrove-supermarket-going-organic-042848348--sector.html
2016_02_31,"Asia shrimp farmers restock mangrove supermarket"" by going organic""",https://sg.news.yahoo.com/asia-shrimp-farmers-restock-mangrove-supermarket-going-organic-042848348--sector.html
2016_03_01,"In Vietnam, an unlikely haven for gays - and a lucrative market",https://sg.news.yahoo.com/vietnam-unlikely-haven-gays-lucrative-market-000236468.html
2016_03_05,China premier says aims to keep yuan exchange rate basically stable in 2016,https://www.yahoo.com/news/china-premier-says-aims-keep-yuan-exchange-rate-014142291--business.html
2016_03_05,"China economy faces greater difficulties, downward pressure increasing: Li",https://finance.yahoo.com/news/china-economy-faces-greater-difficulties-downward-pressure-increasing-014228835--business.html
2016_03_08,"Air strike hits Syrian market, opposition says truce must be respected",https://sg.news.yahoo.com/air-strike-hits-syrian-market-opposition-says-truce-011447795.html
